state,count,share
Texas,33,22.6
Michigan,19,13.0
Florida,14,9.6
Georgia,9,6.2
Arizona,6,4.1
Ohio,5,3.4
South Carolina,5,3.4
Tennessee,3,2.1
Alaska,3,2.1
Louisiana,3,2.1
Pennsylvania,3,2.1
North Carolina,3,2.1
New York,3,2.1
Virginia,3,2.1
Arkansas,3,2.1
Washington,2,1.4
Oklahoma,2,1.4
West Virginia,2,1.4
Wisconsin,2,1.4
Alabama,2,1.4
Montana,2,1.4
Kansas,2,1.4
Idaho,2,1.4
Wyoming,2,1.4
Nevada,1,0.7
Nebraska,1,0.7
North Dakota,1,0.7
Massachusetts,1,0.7
Maryland,1,0.7
Kentucky,1,0.7
South Dakota,1,0.7
Illinois,1,0.7
Utah,1,0.7
Hungary,1,0.7
Colorado,1,0.7
California,1,0.7
Brazil,1,0.7
