name_sanitized,gender,accuracy
Frank,male,99
Mehmet,male,93
Carol,female,97
Marjorie,female,98
Mike,male,99
Kat,female,95
Brian,male,99
Greg,male,99
Jim,male,99
Sarah,female,98
Mike,male,99
John,male,99
Ken,male,98
John,male,99
John,male,99
John,male,99
Madison,female,92
Debbie,female,98
Kevin,male,99
Bo,male,85
Bill,male,100
Patrick,male,99
Jimmy,male,98
Ashley,female,84
Glenn,male,98
Bob,male,97
Steve,male,99
Frederick,male,99
Kay,female,54
Wesley,male,99
Jake,male,98
Brian,male,99
Monica,female,98
Jodey,male,71
Phil,male,98
Lance,male,99
Randy,male,98
Troy,male,99
Katie,female,99
Warren,male,99
Loren,male,55
John,male,99
Morgan,male,63
Claudia,female,98
Elise,female,97
Kristi,female,93
Lisa,female,98
Russell,male,99
Carlos,male,99
Jonathan,male,99
Gary,male,99
Mario,male,99
Viktor,male,98
Derek,male,99
Mary,female,98
Sid,male,94
Mayes,male,64
Mike,male,99
Andrew,male,99
Tim,male,99
Vern,male,92
Angela,female,98
Mike,male,99
Lauren,female,97
Angela,female,98
Byron,male,99
Ronny,male,98
Jacky,male,75
Roger,male,99
Michael,male,99
Beth,female,99
Michael,male,99
David,male,99
Anthony,male,99
Wendy,female,96
Dan,male,97
Ryan,male,99
Jon,male,99
Paul,male,99
Mick,male,98
Kevin,male,99
John,male,99
Matt,male,100
Alex,male,92
Mike,male,99
Rachelle,female,96
Matt,male,100
John,male,99
Michael,male,99
Pat,male,61
Chuck,male,99
August,male,92
Gus,male,97
Janice,female,98
Dawn,female,100
Jair,male,99
Charles,male,98
Steve,male,99
Rick,male,99
Geoff,male,99
Pete,male,99
Kevin,male,99
Kari,female,68
Mike,male,99
Diana,female,98
Matt,male,100
Anna,female,98
Mark,male,100
Harriet,female,96
Kristina,female,98
Steve,male,99
Burt,male,97
Herschel,male,90
Joe,male,97
Sean,male,99
Jonathan,male,99
Adam,male,99
Bill,male,100
Derrick,male,99
Ken,male,98
Ryan,male,99
Vito,male,98
Kelly,female,88
Mike,male,99
Virginia,female,98
John,male,99
Greg,male,99
Wilton,male,99
Glenn,male,98
Dan,male,97
Frank,male,99
Marco,male,99
Ron,male,99
Rand,male,59
Mo,male,78
Drew,male,96
David,male,99
Jody,female,59
Julia,female,97
John,male,99
Tim,male,99
Mike,male,99
Henry,male,99
John,male,99
Tim,male,99
Max,male,98
Jerry,male,98
